Název;E-mail;Telefon;Kategorie
"APLEND, s.r.o.";tatry@aplend.com;"0904 744 000";Apartmany
"Mikuláš Juraj";jurajmikulas@naex.sk;"044 5547 257";Apartmany
"FatraLiptov s.r.o.";info@apartmanyfatrapark.sk;"0917 765 608";Apartmany
"Euro - Projektservis, s.r.o.";;;Apartmany
"Jibstar Distribution s. r. o.";info@vilajasna.sk;;Apartmany
"Serenity Group, s. r. o.";serenity.pribylina@gmail.com;"0948 031 367";Apartmany
"Eris, s.r.o.";reservations@melroseapartman.sk;"02 2076 2946";Apartmany
"Staroň Tomáš";staron@apartmanylipka.sk;"0908 698 145";Apartmany
"Plajdičková Danka";dplajdickova@gmail.com;"0903 587 666";Apartmany
"Klement, s.r.o.";info@ubytovaniedunajskastreda.sk;"0919 413 801";Apartmany
"IVICA SK s. r. o.";ubytovanie@penzionivica.sk;"0902 223 322";Apartmany
"VILA ZUBEREC, s. r. o.";info@vilazuberec.com;"0911 060 677";Apartmany
"Freaks, s.r.o.";info@bobulky.sk;"0905 920 855";Apartmany
"Šunová Anna";anicka102@gmail.com;"0902 667 890";Apartmany
"Jurčo Peter";info@apartmansrnka.sk;"0911 414 569";Apartmany
"CYSEL - Štefan Cyprich";cysel@cysel.sk;"0905 642 037";Apartmany
"A3M Apartments s.r.o.";recepcia.krivan@gmail.com;"0919 192 534";Apartmany
"Trio - Richard Papp";papptrio@gmail.com;"0905 512 215";Apartmany
"Tursunovová Tatiana";recepcia@villaseverka.sk;"0917 064 074";Apartmany
"APetra s.r.o.";apetra@apetra.sk;"0903 514 2220903 645 567 | 0903 514 222";Apartmany
"Vyšný Miroslav";info@apartmany-studia.sk;"0903 263 457";Ubytovanie
"TRIMEX DOMY, s.r.o.";;;Ubytovanie
"SLOV INN JASNÁ a. s.";recepcia@bjornsonka.sk;"044 5535 555";Ubytovanie
"Ivan Juraj";kolibaneresnica@gmail.com;"045 5323 406";Ubytovanie
"J+Z Bystrinaresort, s. r. o.";hotelbystrina@bystrinaresort.sk;"044 5548 163";Ubytovanie
"Borová Sihoť s.r.o.";recepcia@borovasihot.sk;"044 5224 039 | 044 5224 055";Ubytovanie
"Sedliacky dvor, s.r.o.";info@sedliackydvor.com;"0911 078 303048 6117 218 | 0911 078 303";Ubytovanie
"Maroš SK s.r.o.";info@vilamaros.sk;"+420 777 943 6690940 799 120 | +420 777 943 669";Ubytovanie
"ACR, s.r.o.";magura@parksnow.sk;;Ubytovanie
"Kučerová Eva";info@apartmanymojtin.sk;"0902 826 5010902 329 107 | 0902 826 501";Ubytovanie
"Komposesorát - Pozemkové spoločenstvo Liptovská Anna";ubytovaniepravnac@gmail.com;"0910 926 330";Ubytovanie
"Agga, s.r.o.";chata@chatabana.sk;"0903 704 686";Ubytovanie
"PATRESORT, s.r.o.";bonaparte@bonaparte.sk;"035 7731 4440902 179 079 | 035 7731 444";Ubytovanie
"Florek Miroslav";penzion@pohodakrusetnica.sk;"0908 223 888";Ubytovanie
"AZ TIP - Ing. Anton Žember";info@ubytovaniezember.sk;"0905 207 434";Ubytovanie
"ŠRZ Drienok, s.r.o.";info@drienok.sk;"043 4944 172";Ubytovanie
"WILI SLOVAKIA, s. r. o.";info@wilislovakia.sk;"0918 707 125";Ubytovanie
"JAZIERCE, s.r.o.";jazierce.prenajom@gmail.com;"0905 690 119033 5513 696 | 0905 690 119";Ubytovanie
"TATRA TRADING INTERNATIONAL s.r.o.";recepcia@hotelhorizont.sk;"0908 908 1110910 802 309 | 0908 908 111";Ubytovanie
"HOREZZA, a.s.";info@granithotels.sk;"02 3210 60000914 324 188033 7983 111052 4422 751 | 02 3210 6000";Ubytovanie
"SENGER & Partners s. r. o.";info@senger.sk;;Ubytovanie
"A3S s. r. o.";info@apartmanytristudnicky.sk;"0919 132 6290917 777 040 | 0919 132 629";Ubytovanie
"MIRO TOURS s.r.o.";info@skizabava.sk;"0908 677 322";Ubytovanie
"Obchodné centrum Zora, spol. s r.o.";oczora@centrum.sk;"046 5411 990";Ubytovanie
"PREDNA HORA s.r.o.";ra@prednahora.sk;"0910 923 5350915 956 173 | 0910 923 535";Ubytovanie
"B+B – Ing. Milan Bosák";bosakmilan@gmail.com;"056 6383 415056 6385 130 | 056 6383 415";Ubytovanie
"Zahovay František, Ing.";zahovay@sturovo-ubytovanie.sk;"0905 913 867";Ubytovanie
"SP GATE s. r. o.";reservation@hotelsolisko.sk;"0910 719 1930904 462 800 | 0910 719 193";Ubytovanie
"JAMA - GASTRO, spol. s r.o.";recepcia@resorthusarik.sk;"041 4334 766041 4334 764041 4334 766 | 041 4334 766 | 041 4334 765";Ubytovanie
"Premium Star Hotels, a.s.";congress@primestarhotels.com;;Ubytovanie
"Fukas s.r.o.";info@fukasapartments.com;"0948 949 997";Ubytovanie
"R investment, s.r.o.";ski.and.sun@gmail.com;"0944 598 582";Ubytovanie
"Taxi Liptov & Apartmány Bešeňová, s. r. o.";apartmanydreams@gmail.com;"0918 883 011";Ubytovanie
"Bike & Ski Fans";apartmanbystrica@atlas.sk;"0911 120 672";Ubytovanie
"Mountain resort, s.r.o.";info@mrz.sk;"0917 864 0960907 363 316 | 0917 864 096";Ubytovanie
"V & P, s.r.o.";laurinska@tatrareal.sk;"0905 616 34402 5726 7213 | 0905 616 344";Ubytovanie
"VILA HORAL s.r.o.";info@vilahoral.sk;"0904 210 121";Ubytovanie
"KENOIL TRADE, s.r.o.";info@ukamarata.sk;;Ubytovanie
"Štelmach Miroslav";info@umirca.sk;"0948 505 700";Ubytovanie
"Dvorská Viera";dvorska.mlyn@zoznam.sk;"0907 294 724 | +421 948 100 965";Ubytovanie
"SOLUDUS s.r.o.";soludus@soludus.sk;"0903 908 361";Ubytovanie
"Apartments City Centre s.r.o.";info@apartmentscitycentre.sk;"0904 610 541";Ubytovanie
"Harmony AP Resort, s.r.o.";apresort@apresort.sk;"0901 710 718";Ubytovanie
"LM Square, s.r.o.";info@byty-liptov.sk;"0918 366 8930918 617 305 | 0918 366 893";Ubytovanie
"Penzión Bělín - Ing. Filip Bělín";belin@tatry.sk;"052 4467 778";Ubytovanie
"ŠADUL, s.r.o.";info@sadul.sk;"0918 183 911";Ubytovanie
"Holiday Village, s.r.o.";;"02 4591 5109";Ubytovanie
"I - TRADING, s.r.o.";matejistvanovic@gmail.com;"0944 357 822";Ubytovanie
"Kórósi Juraj";apartmanroyal@gmail.com;"0907 128 268";Ubytovanie
"Hruška Rasťo";ubytovanienovemesto@gmail.com;"0905 218 429";Ubytovanie
"Hlinková Nadežda";ubytovanienada@gmail.com;"0915 140 085052 4367 157 | 0915 140 085";Ubytovanie
"ZM Group, s.r.o.";info@penzionvrchar.sk;"0905 454 031";Ubytovanie
"JM & Co. s.r.o.";info@borjasna.sk;"0905 365 137";Ubytovanie
"Kosnová Valéria";apartmanvalko53@gmail.com;"0910 122 749";Ubytovanie
"CN Trading, s. r. o.";info@cityap.sk;;Ubytovanie
"Argyll - Marián Mudrák";info@apartmanyantik.sk;"0908 907 5600908 964 003 | 0908 907 560";Ubytovanie
"Korlea Trade, s.r.o.";almet@almet.sk;"048 4199 877";Ubytovanie
"ANNEXUS s.r.o.";donovaly.apartmany@gmail.com;"0903 175 781";Ubytovanie
"Mikuláš Juraj";jurajmikul@gmail.com;"0918 932 636";Ubytovanie
"ROJA - Ing. Robert Németh";roja1nemeth@gmail.com;"035 6589 2050905 562 998 | 035 6589 205";Ubytovanie
"VOJAN s.r.o.";apartmanjan@gmail.com;"0903 990 005";Ubytovanie
"Maladinovo s.r.o.";info@maladinovo.sk;"0914 160 160";Ubytovanie
"ROBCENTRA - Róbert Györi";apartman.strbskepleso@gmail.com;"0911 247 149";Ubytovanie
"S.E.C. Company, a.s.";info@apartmanystyle.sk;"0917 267 784";Ubytovanie
"Pacák Martin";info@apartmany-demanovskadolina.sk;"0905 977 655";Ubytovanie
"OIL JPM, s.r.o.";pizza@holicskypivovar.sk;"034 6682 400";Ubytovanie
"MOTI s.r.o.";info@hilsonjasna.sk;"0918 060 803";Ubytovanie
"Solea, s.r.o.";restaurant@meritto.sk;"0911 669 966";Ubytovanie
"KRASVILL s. r. o.";zdiar@krasvill.sk;"0905 988 078";Ubytovanie
"PEPA TATRY s.r.o.";info@apartmanyzea.sk;"0948 019 9220948 109 859 | 0948 019 922";Ubytovanie
"Willow, s.r.o.";info@my-home.sk;"02 5249 5955 | +421 2 524 95 957";Ubytovanie
"Tantum s.r.o.";info@vilamedvedica.sk;;Ubytovanie
"Dvoran Jozef";jdvoran@gmail.com;"0903 169 748";Ubytovanie
"BAGETA - Rastislav Škojec";fatrapark2apartments@gmail.com;"0903 201 817";Ubytovanie
"Apartmány Lomnica, s.r.o.";rezervacie@apartmanylomnica.sk;"0917 228 5200911 370 058 | 0917 228 520";Ubytovanie
"Chatter, s.r.o.";recepcia@vilagrand.sk;"052 4422 631";Ubytovanie
"Edelweiss projekt s.r.o.";holidayresort@telgart.sk;"0944 283 483";Ubytovanie
"Sparkler, spol. s r. o.";sparkler10@gmail.com;"0905 963 262";Ubytovanie
"WILI HOLDING, a. s.";info@wilislovakia.sk;"0918 707 125";Ubytovanie
"Fine s.r.o.";fine@finerestaurant.sk;"0917 603 684";Ubytovanie
"Bekešová Lenka";lbekesova@nisa.sk;"0903 836 003";Ubytovanie
"Delta - Ing. Beáta Herédyová";info@donovaly-safran.sk;;Ubytovanie
"Červeňová Mária";maria.cervenova@centrum.sk;"0908 218 675";Ubytovanie
"Chochláčová Dagmar, Ing.";apartmany@agata.sk;"0903 701 828";Ubytovanie
"Mastery s.r.o.";apartmanafrodita@centrum.sk;"0915 850 600";Ubytovanie
"3W, s.r.o.";info@vipapartmany.sk;"0907 734 982";Ubytovanie
"Aquaski s.r.o.";v.kolecek@gmail.sk;"0905 463 677";Ubytovanie
"Svocák Ľudovít";ludosvocak@gmail.com;"0907 942 0980940 800 2650907 148 3030911 844 654 | 0907 942 098";Ubytovanie
"A & R Management, s.r.o.";stano@jasna-ubytovanie.sk;;Ubytovanie
"MK GASTRO - Maroš Knižka";tatranit@tatranit.sk;"0907 414 506";Ubytovanie
"Vojtek Jakub, Ing.";vojtek@jasnavj.sk;"0905 389 510";Ubytovanie
"UBT 1. s.r.o.";info@ubytko-stupava.sk;"0948 351 313";Ubytovanie
"Kalreal, s.r.o.";sales@holidaytale.sk;"0948 214 507";Ubytovanie
"Vila Anna, s.r.o.";info@vilaannabesenova.sk;"0907 207 570";Ubytovanie
"Machová Jana, Ing.";info@ubytovaniliptov.sk;"+420 724 005 447";Ubytovanie
"Štepita Rastislav, Ing.";bed@bed.sk;"0905 270 007";Ubytovanie
"Apartman Taktik, s.r.o.";taktik@panelnet.sk;"0918 329 2250905 614 323 | 0918 329 225";Ubytovanie
"DDolina, s.r.o.";info@apartmanymaliarik.sk;"0915 730 073";Ubytovanie
"TÁLIA - Marian Repa";taliaresort4@gmail.com;"0905 435 592";Ubytovanie
"M. S. Group, a.s.";info@apartmany-donovaly.sk;"0903 545 9590905 545 959 | 0903 545 959";Ubytovanie
"BETA Bilancia, s. r. o.";apartman@studiopodhajska.sk;"0948 383 392";Ubytovanie
"Jergencová Andrea";;"0903 255 175";Ubytovanie
"Elesko, a.s.";info@elesko.sk;"02 2092 2649 | 02 2092 2650";Ubytovanie
"Rebiz s.r.o.";rezervacie@ubytovaniesered.sk;"0903 251 904";Ubytovanie
"Fairy, s. r. o.";info@santino.sk;"0907 107 539";Ubytovanie
"CTS - CONSULTING TRADE SERVICE s.r.o.";apartmanicask@gmail.com;"0908 211 702";Ubytovanie
"Horváth Balázs";rezervacia@hbapartment.com;"0908 388 615";Ubytovanie
"Judol, spol. s r.o.";szaka53@gmail.com;"0905 354 945";Ubytovanie
"Abelia s.r.o.";anna.lukacova@abelia.sk;"0911 460 047";Ubytovanie
"Broma Plus s.r.o.";info@broma-demanova.sk;"0905 695 320044 5549 460 | 0905 695 320";Ubytovanie
