Name;Phone;Email
Rekreační areál Petrův statek;777 168 311;petr.klokocka@email.cz
Camping Frymburk - Lipno;+420 733 745 435;info@campingfrymburk.cz
Glamping Base Camp Medvědín;+420 777 709 067,  +420 771 145 755;info@bcmedvedin.cz
Camp Džbán;+420 725 956 457;info@campdzban.eu
Autokemp Primátor Litomyšl;+420 732 148 723;primator@camplitomysl.cz
Base Camp Medvědín;+420 777 709 067;info@bcmedvedin.cz
Autokemp Olešná;+420 602 238 823;
Kemp Stříbrný rybník;+420 607 135 822;recepce@vslesy.cz
Petrův statek - jurta;777 168 311;petr.klokocka@email.cz
SAFARI PARK;775 855 833;safarikemp@zoodvurkralove.cz
Rekreační areál Strnadovský mlýn;602 219 601;mlyn@strnadovskymlyn.cz
Camping Rožnov;731 504 073;camproznov@seznam.cz
Kemp Děčín a cyklostop;+420774262111;recepce@kempdecin.cz
Slovácký Dvůr;+420777303246;recepce@slovackydvur.cz
Tree houses Sněžník s wellness;+420 777 693 429;treehousessneznik@gmail.com
Kempus Na poli;+420 736 291 516;l.eidova@egoe.eu
Monica camp & glamp;+421915927497;domasa.campglamp@gmail.com
Wecamp Cabo de Gata;900 056 003;hola@cabodegata.wecamp.net
Jizerské domky - Neposeda, Šmírák, Modřínek;+420 774 906 268;info@jizerskedomky.cz
Tree House;702 158 499;rezervace@lesymb.cz
Kemp Wake surf Náklo;+420 775 230 073;kemp@wakesurfnaklo.cz
Srubová osada U Mauritzů;+420 388 335 166;umauritzu@gmail.com
Kemp Pohoda;775 354 602;info@kemppohoda.cz
Autokemp Marin Mělice;+420739237063;info@kempmelice.cz
Camping & Glamping Slovakia;+421944285558;
U Dolanského mostu;725 116 886;
Glamping Pod Jezevčí skálou;+420 774 365 770;
Jeskyně Janská;603463735;
Glamping Tošcimra;733505980;
Glamping JEDLOVÁ;+420 722 513 351;
Jurty v Sadu;+ 420 774 650 198;
Glamping Pyskočely;+ 420 607 731 117;
Yurt camp Český Šternebrk;+420 777 478 889;
Glamping Sever;+420 739085949;
