Name;Phone;Email
Chalupa Na hradbách (7368);774822233;
Chalupa na Fryšavě (7673);737284444 | 603255441;
Chata nad Milíkovem (16874);776747030;
U Faflíka Chalupa - Vyprávěj (10488);+420603226401;
Chalupa Plus (3143);608909896 | 777112182;
Třeštický mlýn (3494);777014947;
Chata na Pohodu (7769);+420602817688;
Medová chaloupka (9383);777929922;
Apartmán U starého presu (9271);702136662;
Skála 1827 (2988);724335117 | 724705810;
Apartmány u Medků Šumava (2306);606526734;
Chata Měřín (581);724761523;
Búda Pod Terasou (14175);604677947;
Chata Klárka (11500);725299742;
Apartmány nad sklípkem (2634);725724982 | 774241009;
U Ilčíků - Dubňanská hora (9397);735708800 | 777087794;
Ubytování - vinný sklep Habánská (3243);722275337;
Chalupa Pod Sviní horou (2343);603932444;
Sklářská chalupa (11459);733397545;
U Salajků (18888);603583085;
Penzion Keramika (11342);602476331;
Statek U Medvěda (878);777788799 | 777788798;
VinAp - ubytování s vinným sklípkem (1295);774929429;
Penzion pod Hlubočkou (9914);735188136;
Chalupy Na Smrčku (10663);606661700;
Apart Kobylí (10444);+420775937119;
Chalupa Měšťan (16467);606831095;
Chalupa Maršovice (15161);+420731441164 | +420606256185;
PŘÁTELÉ - vinný sklep (12026);604187120;
Ubytování v soukromí Blažejovi (10834);+420724986343;
Tvrz Svinná (19315);725742809;
Podlešanský mlýn s wellness (4532);603251775;
Chalupa Vrátno 16 (13181);603766750 | 603917009;
Vinný sklep Kovárna (1562);518129638 | 721732563;
Chata Dračí doupě (18186);774279130 | 739218973;
Maringotka Herba (17218);+420607818100;
Ubytování Pálavské slunéčko (15792);775538000;
Penzion Kopretina (1438);;
Lavečka u Valtic (15758);602692875;
Náš Sklep (12117);604531513;
Chata Boženka (224);777165075;
Vinný sklep U Terezy a Jakuba (401);518129638 | 721732563;
Roubenka U hrochů (11331);775206897;
Chalupa pri Ukoch (8430);608783440 | 739177618;
Božská usedlost (14393);724312536 | 777566284;
Penzion Lisovna (14674);603425442 | 603264422;
Sklep u Václavíků (12325);606739292 | 602536346;
Cottage Bara (4971);608725911;
Chalupa Podhradí (10389);603578142 | 737617832;
Chalupa pod Sedlem (243);378774252 | 723969530;
Chalupa k pronájmu (2782);723613232;
Chalupa Radišov (2705);736147960 | 737045118;
Zemské vinařství a penzion Pod Dubňanskou horou (15700);+420737347122 | +420776009773;
Chalupa Zátyní (11850);773689006;
Vinařství Radim Mildner (1645);739060170;
Václavěnka (1294);605358215 | 602308769;
Kamenná chalupa (21006);775253992;
Chalupa k pronájmu (1200);776235516;
Vinný sklep (3106);731118899;
Penzion Zaječí důl (1659);739465634 | 724386680;
Lisovna (15539);+420608298934 | +420732550933;
Sklípek Pod Dubňanskou horou (2525);603932444 | 605771625;
Chalupa U Šimona (3315);728752239;
Hořická chata (2438);775608488 | 739408511;
Ořechový dvůr (3827);777712571;
Penzion Bory (1648);728611566;
Ubytování u Jarušky na Moravě (13111);606727297;
Samota pod Hazmburkem (22037);728795476;
Chalupa Pod Buchtou (18522);608779173 | 739629638;
Ke třem pramenům (11129);602444876;
Chalupa Rozárka (18682);+420608300152 | +420777868822;
Chata Oaza (10009);725384866 | 606925490;
Chalupa u Pillerů (4215);777246595;
Chata u Andyho (5971);+420603525764;
Chata Oddychovka (19262);+421903447781 | +421902944448;
Stará Vinice (18402);728201050;
Slovácký sklípek u Koutných (15898);773975385;
Šumavská chata (6420);608978296;
Chalupa k pronájmu (1863);602661444 | 606767631;
Relax chata Helena (14908);605103795;
Chata Babeta (5995);603441622;
Chata U Vleku (5586);606217365;
Apartmány Na Vyhlídce (16434);601126253 | 775690627;
Pod Vinařským kopcem (9811);737252808;
Vinařství Maixner (9600);602168147 | 777346242;
Resort LUFT (4981);724933852 | 608137160;
Vinný sklep u Studýnky (18012);720134418 | 736626341;
Vinný sklep U Matůšků (18335);602724722 | 602724807;
Ubytování nad vinným sklípkem (3986);728154780;
Chaloupka bazén víno sklep U Palečků (10335);731475822;
Na Šestnáctce se saunou a vířivkou (17580);608455878;
Vinný sklep u Herků (7641);777834761 | 728224015;
K Babičce (18052);736529342;
Vinařova Šumavská chalupa (4302);603242185;
Chata Seeberg (9235);725666666;
Chalupa pod Viničnou (18720);721181024;
Sklep u Malíků (3383);607502210 | 721271716;
Malý penzion U Meruňky (18552);728604590 | 721813355;
Vinný sklep s ubytováním (14633);776683567 | 777662728;
