Name;Phone;Email
Horská chata - Skiareál Turek (7749);777236215;
Penzion Na Vyhlídce (1448);602570147;
Selský Dvůr (4013);604471323;
Petski (17226);+420739383336 | +420608317706;
Penzion Betlém (1432);603522940;
Apartmány Josefáč se saunou (15120);776215577;
Třeštický mlýn (3494);777014947;
Penzion Statek Habří (7101);+420720333420;
Privát Folprechtovi (246);420606465400 | 420720451462;
Pension Bílý Hořec (2245);773449996 | 777146862;
Rezidence Náčkovice (3284);602646688;
Elval resort (11677);777656327;
Pension Svatý Jan (3681);774949593 | 774949594;
Apartmány Bedřichov (9631);605587894;
Domeček pod Petřínem (985);737284444 | 603255441;
Chalupa a apartmány LOJKA (638);+420724350365;
Penzion (9469);774719409;
Ubytování na Statku (9115);602555595;
U Mlejna (13499);735190190;
Jitřenka (11976);+420602750215;
Ubytování u Skřivánků (3747);723938407;
Ubytování Bartonička (4238);736245464;
Resort Kadlecu - Chalupa Jiřík (9509);602465572;
Chata Xanadu Sečská přehrada (473);777097456 | 608030258;
Chata Mečová (1135);571645309 | 777200157;
Penzion U Kňourků (2394);603109725 | 603109735;
Fara Jítrava (3241);732716992;
Penzion Holinka (6333);606113323;
Wellness Chata u Pinkasů (11335);605822249 | 776285440;
Penzion (1467);730610029;
Sborovna (14886);731021558;
Pronájem chalupy (2219);608338860;
Turistická chata Chopok (7785);+421915654008;
Penzion Na Dobšíně (8251);604428988;
U Anděla (12858);603828913 | 737346110;
Chalupa Bukovka (1029);603180041;
Chata Záva (2518);733578590;
Penzion pod Čeřinkem (1100);777674694 | 775664375;
Penzion Orlicko (16602);777203445;
Pension Jana - wellness (10603);777113399;
Chata Biela Stopa (19301);+421901911211;
Chalupa TAMA (3988);353997007 | 724333534;
Penzion MERUŇKA (14367);+420606720715;
Drevenica Čakanka a Drevenica Nezábudka (22102);+421903420220 | +421904894733;
Penzion Keramika (11342);602476331;
Penzion Alpina (9765);776767028 | 776604600;
Chaloupka pod Krakonošovem (9930);739478146;
Chalupa Kovárna (155);739064672;
Chata Orion (1565);773783770;
Penzion pod Hlubočkou (9914);735188136;
Wellness Life (6116);608083711;
Chalupa u Kocourka (11885);+420775750001 | +420777039612;
Apart Kobylí (10444);+420775937119;
Penzion NOSTALGIE 1876 (7397);777286347;
