Název;E-mail;Telefon
"RELAX ČERTOV, s.r.o.";recepcia@ckrelaxcertov.sk;"0917 913 405"
"GALILEO HOTEL s.r.o.";recepcia@galileohotel.sk;"0903 244 565"
"Horský hotel Minciar s.r.o.";recepcia@minciar.com;"0911 590 740"
"Hotel Sliezsky dom, a.s.";recepcia@sliezskydom.sk;"0911 882 879"
"TatryPEM s. r. o.";recepcia@popradskepleso.sk;"0908 761 403"
"Zálešáková Mária";hotelevamaria@gmail.com;"042 4352 161"
"Relas-Lomy, s.r.o.";hotellomy@gmail.com;"046 5492 070"
"ORAVA SKIPARK, a.s.";info@kubinska.sk;"0915 595 311"
"DRUŽBA, s.r.o.";druzba@druzbahotel.sk;"044 5591 555"
"Čemma, s.r.o.";hotel.liptov@gmail.com;"0948 037 976"
"SOVELO s.r.o.";majitel@jankov-vrsok.sk;"0905 203 900"
"A.V. Plus, s.r.o.";reservation@hotelborovica.sk;"052 7110 500 | 421 52 4 | 49 24 42"
"Fran, s.r.o.";hotelfran@seznam.cz;"041 4364 151"
"TATRAWEST s.r.o.";tatrawest@tatrawest.sk;"0911 300 495"
"DATAHOUSE a. s.";recepcia@residencehotel.eu;"0917 432 511"
"Ondrík, s.r.o.";oravahotel@oravahotel.sk;"043 5394 603"
"PARTHENON, s. r. o.";info@hotelosobita.sk;"0948 933 533"
"MGH s.r.o.";recepcia@hotelmartinskehole.sk;"0903 924 666"
"Tatry mountain resorts, a.s.";hotelstmr@tmr.sk;"044 2901 358"
"Veľká Havrania, s.r.o.";mail@hotelhavrania.sk;"043 5896 362"
"BELIDEA SERVICES, s. r.o.";recepcia@hotelmnich.sk;"044 5596 611 | 0903 596 611"
"OMNITRADE, a.s.";hotelboboty@vratna.sk;"041 5695 228 | 0902 969 205"
"JAMA - GASTRO, spol. s r.o.";recepcia@resorthusarik.sk;"041 4334 766 | 041 4334 764 | 041 4334 765"
"Klak, s.r.o.";info@klakpd.sk;"0907 438 811"
"DALIAN SK, s.r.o.";recepcia@rysyhotel.sk;"0910 533 935"
"PSP Morava, s.r.o.";recepcia@hotel-morava.sk;"052 4467 641"
"Krpáčovo, s.r.o.";info@hotelhydro.sk;"0903 566 653 | 0907 848 793 | 048 6170 051"
"ARMA, s.r.o.";info@sachticka.sk;"0905 404 049"
"HOTEL CROCUS ŠTRBSKÉ PLESO, a.s.";recepcia@hotel-crocus.eu;"0940 646 464"
"AB Tour, s.r.o.";sasanka@sasanka.sk;"052 4467 361"
"Bocy, s.r.o.";hotel@bocy.sk;"041 4382 337"
"Hájenka, spol. s r.o.";info@hajenkahotel.sk;"041 4364 161 | 0902 113 119"
"HOTEL VRŠATEC, spol. s r.o.";info@hotelvrsatec.sk;"042 4464 303"
"Pech-Tour Slovakia, s.r.o.";info@horskyhotel-eva.sk;"02 4497 0507"
"AG Lima Pegas, s.r.o.";rutrlova@hotelpalacetivoli.eu;"0907 709 894"
"MXM, spol. s r.o.";info@hoteljavorna.sk;"0905 901 010 | 051 4891 200"
"Hotel Podjavorník s.r.o.";recepcia@hotelpodjavornik.sk;"042 4393 015 | 0911 660 551"
"Avalanche, spol. s r.o.";info@hotelavalanche.sk;"052 778 1 772 | 0944 059 639"
"Adams - Hotel Šomka, s.r.o.";recepcia@hotelsomka.sk;"051 4892 330 | 051 4892 332"
"Kontakt M, s.r.o.";recepcia@hotelkontakt.sk;"052 4468 185 | 052 4468 184"
"Smokovec, a.s.";recepcia@hotelsmokovec.sk;"052 4425 191 | 052 4425 194"
"Tatracamp, s.r.o.";hoteltatranec@hoteltatranec.com;"052 4467 092"
"ČERTOVICA RESORT, s. r. o.";info@chatapodcertovicou.com;"0911 306 951"
"Mikulášska chata, s.r.o.";recepcia@mikulasskachata.sk;"0918 371 702 | 0907 724 382"
"TATRA HOTEL SLOVAKIA, a.s.";recepcia@hotelpatria.sk;"052 7848 999"
"SCP - PSS, s.r.o.";hotelmalina@orangemail.sk;"0911 720 598 | 044 4319 999"
"Doména, s.r.o.";recepcia@atriumhotel.sk;"052 4422 342 | 421 52 4 | 42 23 04"
"SAP - Ján Alexa";info@studnicky.sk;"0915 656 037"
"BHP Tatry, s. r. o.";reservations.hightatras@kempinski.com;"052 3262 222"
"BB Expo, spol. s r.o.";bbexpo@bbexpo.sk;"048 415 | 2 691+421 48 | 4154 492+42 | 1 48 4125 945 | 048 4152 691 | 421 48 4 | 154 492 | 125 945 | 048 4124 205"
"Sabadšáková Jarmila";hotelagro@zoznam.sk;"052 4561 513 | 0905 309 954"
"M&R Magura s.r.o.";recepcia@magurahotel.sk;"052 4780 511"
"Vega plus s.r.o.";recepcia@hotel-encian.sk;"048 4199 712 | 0903 297 111"
