Name;Phone;Email
Hotel Pohádka;+420777219215;hotelpohadka@seznam.cz
Motorkářský hotel Troníček;+420777186876;recepce@hoteltronicek.cz
LIBERECKÁ BOUDA;+420602364636;info@libereckabouda.cz
Sporthotel Patriot;+420535467469;recepce@hotelpatriot.cz
Hotel Žákova hora ( www.hotelzakovahora.cz);+420566663133;info@hotelzakovahora.cz
Horský hotel Lesná;+420476113040;info@horskyhotellesna.cz
Hotel Sanssouci***;+420244461949;info@hotelsanssouci.cz
Pension a restaurace v Hájích;+420605365881;cerman.jirka@seznam.cz
Hotel Slávie*** Pelhřimov;+420565321540;hotelslavie@pel.cz
APARTHOTEL RESIDENCE TRINIDAD;+420257530187;reception@hoteltrinidadprague.com
hotel Chata;+420388333082;hotelchata@seznam.cz
Hotel Vítkova Hora;+420353331764;info@vitkovahora.cz
Hotel Opus;+420461722103;hotel.opus@unet.cz
Hotel Isora;+420596239502;info@hotel-isora.com
Jasenka rekreční středisko Zubří;+420739594845;recepce-zubri@starezsport.cz
HOTEL U České koruny - HOTEL Czech Crown;+420251626292;u_ceske_koruny@seznam.cz
Chata Eduard;+420602447557;info@chataeduard.cz
Hotel Balkán;+420257327180;info@hotelbalkan.cz
Hotel Barbora;+420773312399;hotel-barbora-cesky-krumlov@penzion-hotel.cz
Hotel a pension Seeberg*** - Romantické ubytování Aš, Františkovy Lázně, Cheb;+420354595081;seeberg@seeberg.cz
Hotel Český Dvůr;+420311621411;info@hotelceskydvur.cz
Hotel Grand;+420257721810;info@hotelgrandrevnice.cz
Hotel Formule **;+420412548445;info@hotelformule.cz
Hotel Vysluní;+420499629457;hotel@hotelvysluni.cz
Horský hotel Neptun;+420554273071;hotel@prodos.eu
Hotel Morrison;+420603484188;hotel@morrison.cz
Hotel Brno;+420543555100;reception@hotelbrno.cz
Wellness hotel Panorama;+420516418111;manager@hotelpanorama.cz
Hotel Panorama Jachymov;+420353811106;hotel.panorama@volny.cz
Horský hotel Permoník;+420739414853;permonik@hotelpermonik.com
Hotel Slovan****;+420420777729;info@slovanhotel.cz
Hotel Motorsport;+420546213519;olga.bilkova@hotel-motorsport.cz
Horský rodinný hotel Sádek;+420379422899;info@hotel-sadek.cz
Wellness HOTEL TOMMY & Spa;+420491452452;info@hotel-tommy.com
Pytloun Design Hotel****;+420486109050;info@pytloun-hotels.cz
Hotel Květoň;+420774640862;hotel-kveton@seznam.cz
Motel Dačice;+420602493771;recepce@moteldacice.cz
Rekreační zařízení VYHLÍDKA;+420516415080;vyhlidka@kolping.cz
Hotel Český Dům;+420474332566;hotelceskydum@centrum.cz
Hotel Petřín;+420833028613;mail@hotel-petrin.cz
Hotel Barborka;+420380735941;info@hotelbarborka.cz
Design Hotel Noem Arch;+420541216160;mikulicova@noemarch.cz
Hotel restaurace Třebovický mlýn;+420733739168;trebovickymlyn@seznam.cz
Hotel Praha;+420494546513;hotelp@atlas.cz
Hotel U Zvonu;+420499629564;info@hoteluzvonu.eu
HOTEL AMBASSADOR - ZLATA HUSA;+420281864790;ambassador@accommodationinczech.com
Atrium penzion;+420605567642;atriumpenzion@volny.cz
Penzion - Hotel Starojicka - pizza****;+420556752000;lacina007@seznam.cz
Hotel U Brány****;+420257534050;hotel-u-brany@praha-hotel.cz
Hotel Dante Alighieri;+420224900633;praha-2@penzion-hotel.cz
Refugio - Ubytování Tisá v Labských pískovcích;+420475207936;refugio@seznam.cz
Ubytování Na Lanďáku Kralupy;+420603535402;pokornypm@seznam.cz
Pytloun Travel Hotel*** Liberec;+420480020383;rezervace@liberec-ubytovani.cz
Vila Titania ****;+420353222933;vilatitania@seznam.cz
Hotel Art;+420382223223;hotelart@volny.cz
Hotel Pod Horkou;+420516446329;hotel@podhorkou.cz
Hotel Vila Hop Kellner;+420415712487;vilahopkellner@email.cz
Hotel Berghof***;+420739093756;rezervace@hotel-berghof.cz
Hotel Vienna;+420417846111;info@halateplice.cz
Hotel Alchymy;+420731686578;info@alchymy.cz
Hotel Na Marjánce;+420318694078;recepce@namarjance.com
PENSION BONAPARTE;+420251565283;booking@pensionbonaparte.cz
City Hotel Brno;+420547213814;rezervace@city-hotel.cz
Hotel Zemská Brána;+420731720858;zemskabrana@seznam.cz
Hotel TREND;+420373720622;trend@trend-hotel .cz
Hotel Cascade;+420724261535;info@motylek.com
Hotel ASAS;+420neuvedeno;hotel-most-Asas@cz-hotel.eu
Hotel Corinthia Towers;+420281864790;towers@accommodationinczech.com
Hotel Aria,;+420281864790;aria@accommodationinczech.com
Hotel SAVOY;+420281864790;savoy@accommodationinczech.com
Hotel Paříž;+420281864790;pariz@accommodationinczech.com
Alchymist Grand Hotel and Spa;+420281864790;alchymist@accommodationinczech.com
Hotel LePalais;+420281864790;lepalais@accommodationinczech.com
Iron Gate;+420281864790;irongate@accommodationinczech.com
The Ventana Hotel;+420281864790;ventana@accommodationinczech.com
Residence Santini;+420281864790;residencesantini@accommodationinczech.com
Pension Baltazar Mikulov;+420519324327;info@pensionbaltazar.cz
Sporthotel Barborka;+420387966506;hotel@sporthotelbarborka.cz
Hotel Morávka;+420608077727;jaskova.elisabeth@seznam.cz
Hotel Svatý Lukáš;+420474651876;hotel@hotel-lukas.cz
Hotel ELEGANCE;+420581112120;rezervace@hotelelegance.cz
Hotel Beseda;+420412383205;hotelbeseda@seznam.cz
Hotel Thermal;+420417533700;hotelthermal@volny.cz
Penzion Zátiší;+420608907111;penzion-zatisi@seznam.cz
Hotel Habsburg;+420474396020;hotelhabsburg@seznam.cz
V Údolí Zlatého potoka;+420415212616;recepce@hotelblsany.cz
hotel yetti;+420602945210;romandrska@centrum.cz
Hotel Lesana;+420379794265;lesanapec@seznam.cz
Penzion Minor ubytování České Budějovice;+420387314949;info@penzionminor.cz
Hotel PORTA aperta***;+420483311751;info@hotelporta.cz
Penzion Klášter;+420419594513;info@penzionklaster.cz
Hotel U Jiřího Humpolec;+420565534512;ujiriho@quick.cz
Hotel a restaurace Zlatý kříž;+420417531343;zlatykriz@seznam.cz
Hotel Bonaparte;+420411192062;info@hotelbonaparte.cz
Hotelová Ubytovna ŽĎAS;+420602579806;ubytovna@zdas.cz
Chata Orlík;+420606618827;info@chataorlik.cz
Resort Malevil;+420487762760;hotel@malevil.cz
Hotel DVOŘÁK TÁBOR;+420381207211;dvoraktabor@dvoraktabor.cz
Golf destinace Čeladná - Ostravice, ubytovani v srdci Beskyd;+420734510133;apartman@hotmail.cz
hotel Klaret;+420283930492;rezervace@hotelklaret.com
Horská chata U Lanovky;+420388323874;info@penzionzadov.cz
HOTEL ŠPEJCHAR MOST-VTELNO;+420ooooooooo;bennitto@seznam.cz
Hotel U Zeleného stromu - České Švýcarsko;+420491005805;info@hotelhrensko.cz
Hotel Zámeček Kalek;+420414146000;recepce@kalek.cz
Remi Hotel;+420251512071;Hotel-Praha-Remi@cz-hotel.eu
Residence - dům U Schnellů;+420257531037;uschnellu@centrum.cz
Hotel Murano ***;+420483393533;recepce@hotelmurano.cz
Hotel Alfa 4YOU - hotel Deštné v Orlických horách;+420776468400;info@hotel-alfa-destne.cz
Hotel Zlatý Kříž Teplice;+420417531343;zlatykriz@email.cz
Hotel Farma Vysoká;+420602336911;farmavysoka@seznam.cz
Hotel Bon;+420777855199;hotelbon@volny.cz
Penzion A club;+420553625091;Penzionaclub@centrum.cz
Hotel Větrov /Kramářova vila/;+420481593134;hotelvetrov@seznam.cz
Hotel Karlštejn;+420311600900;info@hotel-karlstejn.cz
Ramzová - Penzion u sv. Rocha;+420725439820;jon@tespo-su.cz
HORSKÝ HOTEL MORAVA;+420725575821;morava@jeseniky.com
Penzion Chornitzerův dům Telč;+420567215627;info@chornitzeruvdum.cz
Hřebenová bouda - Horský hotel a restaurace;+420412513943;hotelHB@seznam.cz
