Název;E-mail;Telefon
"Hotel Zlatý orel Ostravice s.r.o.";hotel@zlatyorel.cz;"+420 736 500 090 | +420 558 436 904 | 05597951"
"So-lo, spol. s r.o.";info@mercihotel.sk;"0902 377 7650911 284 933 | 0902 377 765"
"Deštrukprojekt - Ing. Július Lapdavský";info@hotelhunter.sk;"0911 571 782"
"FBS, s.r.o.";info@strachanovka.sk;"044 5263 3330907 465 567 | 044 5263 333"
"Impozant, s.r.o.";info@impozant.sk;
"Vinnay s.r.o.";recepcia@hotelvinnay.sk;"0948 245 809"
"Hotel Veverica, s. r. o.";info@hotelveverica.sk;"032 6420 881"
"Slovak Tourism, a.s.";info@thermalkesov.sk;"037 7787 144"
"HOTEL GLAMOUR s.r.o.";recepcia@hotelglamour.sk;"056 6880 5550908 975 269 | 056 6880 555"
"Turist hotel Drotár - Miroslav Medveď";hoteldrotar@gmail.com;"048 6179 103"
"OSŽ Slovakia, a.s.";recepcia@skalkahotel.sk;"041 5493 761"
"Frank Rastislav";spojar@spojar.sk;"044 5586 1370908 803 202 | 044 5586 137"
"DUDÍN s.r.o.";dudin@dudin.sk;"048 4115 497"
"Ostredok s. r. o.";recepcia@ostredok.sk;"044 5591 531"
"Hotel Panoráma Trenčianske Teplice s.r.o.";info@hoteltrenciansketeplice.sk;"0915 100 592"
"Divoká voda, s.r.o.";hotel@divokavoda.sk;"02 6285 0895"
"EUROCOM Investment, s.r.o.";info@besenova.com;"0917 998 844052 3700 201 | 0917 998 844"
"Warcun, a. s.";info@hotelamade.sk;"0918 620 4980918 620 493 | 0918 620 498"
"Kaffex, s.r.o.";kanc@tatry-toliar.sk;"052 4781 011"
"Syrmex International, spol. s r.o.";info@hotelsun.sk;"02 2020 10200905 787 0000917 787 000 | 02 2020 1020"
"Somora Milan";hotelstudnicka@hotelstudnicka.sk;"043 5522 111"
"Barančia, s.r.o.";fuggerov.dvor@gmail.com;"048 4181 399"
"3 art, s.r.o.";mlyncekova@proprieta.sk;"0948 018 811"
"Vienna DC, a.s.";info@vinoruban.sk;"0915 432 001"
