Název;E-mail;Telefon
"RELAX ČERTOV, s.r.o.";recepcia@ckrelaxcertov.sk;"0917 913 405"
"GALILEO HOTEL s.r.o.";recepcia@galileohotel.sk;"0903 244 565"
"Horský hotel Minciar s.r.o.";recepcia@minciar.com;"0911 590 740"
"Hotel Sliezsky dom, a.s.";recepcia@sliezskydom.sk;"0911 882 879"
"TatryPEM s. r. o.";recepcia@popradskepleso.sk;"0908 761 403"
"Zálešáková Mária";hotelevamaria@gmail.com;"042 4352 161"
"Relas-Lomy, s.r.o.";hotellomy@gmail.com;"046 5492 070"
"ORAVA SKIPARK, a.s.";info@kubinska.sk;"0915 595 311"
"DRUŽBA, s.r.o.";druzba@druzbahotel.sk;"044 5591 555"
"Čemma, s.r.o.";hotel.liptov@gmail.com;"0948 037 976"
"SOVELO s.r.o.";majitel@jankov-vrsok.sk;"0905 203 900"
"A.V. Plus, s.r.o.";reservation@hotelborovica.sk;"052 7110 500 | +421 52 449 24 42"
"Fran, s.r.o.";hotelfran@seznam.cz;"041 4364 151"
"TATRAWEST s.r.o.";tatrawest@tatrawest.sk;"0911 300 495"
"DATAHOUSE a. s.";recepcia@residencehotel.eu;"0917 432 511"
"Ondrík, s.r.o.";oravahotel@oravahotel.sk;"043 5394 603"
"PARTHENON, s. r. o.";info@hotelosobita.sk;"0948 933 533"
"MGH s.r.o.";recepcia@hotelmartinskehole.sk;"0903 924 666"
"Tatry mountain resorts, a.s.";hotelstmr@tmr.sk;"044 2901 358"
"Veľká Havrania, s.r.o.";mail@hotelhavrania.sk;"043 5896 362"
"BELIDEA SERVICES, s. r.o.";recepcia@hotelmnich.sk;"044 5596 6110903 596 611 | 044 5596 611"
"OMNITRADE, a.s.";hotelboboty@vratna.sk;"041 5695 2280902 969 205 | 041 5695 228"
