Name;Phone;Email
Penzion Statek Habří (7101);+420720333420;
Luxusní statek u Sedlčan (2906);602332712 | 31681044006;
Farma Vyšehrad (9484);602781488;
Ubytování na Statku (9115);602555595;
Statek Kopanina (9228);+420605181483;
Statek (2210);777245863;
Statek u Benešů (1481);602621839 | 6066612371800;
Farma Mokřiny (13413);608541522 | 608541521;
Statek u Chobotnice (277);604377590;
Statek U Medvěda (878);777788799 | 777788798;
Samostatné apartmány v Českém ráji (3819);602212788;
Statek Humenec (11597);725951239;
Tradiční třeboňský statek u Šafářů (9780);721843679;
Statek U Žáků (2204);602252484;
Statek Blatiny (10888);775913929 | 775613929;
Historický statek Kojetice (2579);602290538;
Samostatný apartmán pod Rejvízem (6357);603772345 | 737583307;
Ubytování Na návsi - statek (13425);723435019 | 606494654;
Apartmány na statku (4405);777211400;
Statek u Potoka (3132);601336089;
Ořechový dvůr (3827);777712571;
Statek (3812);725018078;
Ubytování na statku nedaleko Ratibořic (10954);605591119 | 737829371;
Statek Jindřiška (8514);723286983;
Statek Hájek (11746);608334224;
Statek (8030);775029769 | 731477142;
Statek Vletice (13716);607102674;
Statek Vlastiboř u Soběslavi (8018);777291164;
Statek (8163);724809398;
Statek Brčálník (17790);721122439;
Apartmán Farma Hrnčíř (5431);723385307 | 728945686;
Chalupa Statek Lhota pod sjezdovkou (2405);733444209 | 605750652;
Penzion U Statku (11370);777839195 | 777155730;
Statek u Váňů (2037);606416631;
Statek Březina (8253);+420774095504;
Statek Dolní Kožlí (17938);723437871 | 606611961;
Statek u Frýbů (21761);774048704;
Statek Novohradské Hory (15599);723244645;
Statek U Kaple (5414);777569736 | 737686789;
Chalupa na farmě Kovárna (2155);+420775086050;
Chalupa u farmy (18397);720624693;
Statek Losiny (13203);736487138 | 774927260;
Statek Oskar (17259);721464382;
Chaloupka Farma Strážnice (18701);721606902;
Statek 32 Podolsko (17225);721222384;
Farma pod kopcem (6811);777211892;
Statek jak víno (16790);606803563 | 720529788;
Statek (11636);777291164;
Šlechtův statek (13120);+420723559639;
Ubytování - statek Biobýt (10987);737624046 | 777166316;
Statek Otovice (11382);723507215;
Statek Vilémov (13816);603862219 | 732590703;
Statek Mladějov (19962);608155009 | 728300971;
Chalupa na statku u Flajšmanů (437);774622999 | 774622563;
Samostatný apartmán pod Rejvízem 2 (15129);603772345 | 737583307;
Chalupa-statek Arkáda (9449);720292880;
Statek Žíšov u Veselí nad Lužnicí (21828);776292727 | 608214052;
Statek Horní Slatina (5410);602146254;
BioFarma Dolejší mlýn (16890);777938568;
Statek (16593);723727537;
Samostatný domek Srdcovka ❤️ (16732);774076239;
Ubytování Na Statku (4668);721020459 | 728775158;
Pronájem chalupy (2028);603453211 | 731113842;
Knížecí statek (6624);776205956;
Statek Široký Důl (12708);739083179;
Statek U Drsů (8104);728757848;
Statek U Pepíka (2940);605348214;
Luxusní apartmán Blonde farm (22002);739018082 | 605578974;
STATEK VRANČ (3570);605845684;
Ringelův statek (8519);+420773263623;
Statek Bezdědice (13584);608606838;
Statek AB Relax (7058);777747764 | 777296877;
Statek v Domanicích (18489);602534882 | 725936808;
Penzion MALÁ FARMA (14554);725375100 | 770139448;
Statek (13126);777550642 | 604851767;
Statek u Magdy (17117);737687785 | 606543778;
Statek Hrachov (6909);723719369;
Škodův statek (8258);603767196;
Apartmán Pod statkem (9269);777590476 | 776599290;
Olešnické stavení u Trhových Svinů (15442);778024345;
Škorničkův statek - apartmány s wellness (16734);+420723438467;
Statek Blaník (4415);603155215;
Statek Dobešov (11983);723366879 | 606294738;
Dvůr u Třeboně (5397);720370260 | 724364423;
Statek Sudoměř u Písku (21083);776147664 | 603773053;
Máchův statek (5066);605120271 | 775256596;
Statek Ostružno (21460);739418404;
Statek Perná (1323);722302386;
Statek u Marečků (1786);777800094;
Bydlení na statku (16661);773453377;
Statek Záříčí u Červené Lhoty (14555);777291164;
Penzion Horský statek (13641);+420602241074;
Ubytování na rodinném statku (10699);604552386 | 776746484;
Škorničkův statek - Tátova chalupa s wellness (15035);777987775;
Farma Náhlov (5986);;
Rekreační chalupa Statek Kotlan (8533);773734009;
Statek Polžov (7890);777826700 | 608826700;
Svatby, oslavy a ubytování na statku Matějov (3142);739291885 | 566667149;
Chalupa na Herynkově statku (11328);777948482;
Apartmán na farmě u koní (223);608512666;
Malý Statek Hradečná (18937);602308388;
Statek Homole (3382);603786004;
Statek U Rajmunda zemědělská farma (18502);604484404;
Cerhákův statek (10219);732902219;
Apartmán na kozí farmě v Beskydech (18167);731216911;
Statek Pod Břízou (19757);725567053 | 724901210;
Statek Radostice u Trocnova (18217);777227460;
Statek Samotín (19244);+420604877903;
Statek nad Střelou (19190);+420777322609;
Vejborův statek (4429);737242213;
Ubytování na statku (17343);603284294;
Statek (1490);721309122;
Statek U Kubů (3992);601364714 | 604297672;
BYT SPRÁVCE na statku Vranč (7679);605845684;
Mlýn Drásov (21103);776016911;
Statek u Berků (2493);602284474;
Stylový statek v Českém středohoří (11345);603240242;
Farma Macas (21353);603236311 | 603194844;
Lukov OPEN (13253);605271540;
Statek pod Strání (18141);721801873;
Statek Dva ořechy (21284);720025433;
Bořetínský Statek (4281);776444477;
Farma Na pasece (21989);774848322;
U nás ve Lhotě - rodinný statek (17238);+420735729296;
JV Ranch České Švýcarsko (4280);607617308;
Statek Tylov (2061);606769852;
Sládků statek (95);602656653;
Penzion na Statku (10137);728166949;
Apartmán na statku (18920);606437763 | 605243032;
Farma Opatrných (18921);728231832;
Statek U Kalinů (11354);777185433;
Apartmán Bezděkovský mlýn (9730);606110436;
Pension a farma Šimral (13102);737670913;
Machoňův statek (13022);608249658 | 776010038;
Farma Nesyt (2302);775705540;
Penzion - Statek u sv. Jána (2794);733541225;
Penzion Daniela - ubytování na farmě (8368);777712577 | 602664620;
Statek Čtyřlístek (12445);777259562 | 777259561;
Ubytovna NA STATKU (1769);602876964;
Podřipská farma rodiny Šebkových (8246);777032332 | 777599554;
Statek Polánka (15070);737763974 | 606451044;
Penzion U Lucerny s malou farmičkou (664);+420775606211;
Penzion U Statkářky - Habří (8833);777404564;
Ubytování Na statku (6035);739403848;
Statek (1249);602942256;
Ubytování ve statku (3448);603844030;
Ekofarma Bílý mrak (17578);603309592 | 603967880;
Rychtářův Statek (8353);608979006;
Statek (4494);607600636;
Chata U modrého statku (16752);604465258;
Farma Severák (16721);+420602949559;
Apartmány Farma Alpaka (4593);602115120;
Statek Napořád (18762);773564245;
Na Statku (18554);+420776707797;
Statek (13337);775140588;
Statek Zrůbek (13132);739928219;
Statek Hostačov (18555);+420736437761;
Apartmán na statku (929);+420775627107 | +420792335387;
Apartmán na farmě (21579);777978423;
Ubytování na jelení farmě (8795);722750203;
Chalupa na statku u bran Brd (579);776706271 | 775982426;
Statek Na návsi (22089);725191959;
Ubytování na statku (7376);774720764 | 732756519;
Statek na Hronovce (12689);724141910 | 724913232;
Chatky Na Statku (15499);728928835;
Statek Štrobl (15232);608842088;
Statek Tachov (13578);723125779 | 606555502;
Statek Keblice (12638);;
Samostatný apartmán v RD Brno (15563);;
Statek (2065);606661429;
Farma Dolík (19101);+420604147163 | +420569425716;
Vejminek Malý Statek (10021);722941962 | 723441040;
Nádech - glamping na statku (19857);605422523;
Ubytování na statku (9085);+420602493887;
Penzion U Kozáků (5395);777210649;
Farma Simandl - mobilheim (13414);777300407;
Vejminek na farmě u koní (10785);608512666;
Farma U sv. Jakuba (3059);604148742;
Na Statku (14307);606394146;
Ranč Telč (21627);602491230;
Šumavský statek (19435);720806256;
Penzion na statku (13187);601351161 | 723919748;
Chalupa U Statku (5493);;
Farmička Modřínka (7353);776350833 | 777228777;
Statek (4157);606507769;
Statek U Horkých (4764);;
Domeček U oveček (8041);+420777007169;
Apartmány na statku (16318);602290538;
Statek Salajna (6286);601695218 | 606474496;
Hospoda "na statku" (10939);383491007 | 739016114;
