Name;Phone;Email
Autokemp Olešná;+420 602 238 823;
Kemp a penzion Harasov Kokořínsko;+420 603 401 999;info@harasov.eu
Rekreační areál Petrův statek;777 168 311;petr.klokocka@email.cz
Stellplatz Praha Horní Počernice;+420 602 31 25 24;e.blahova@post.cz
Camping Panorama Lipno;601 546 628;info@camping-panorama.cz
Kemp Wake surf Náklo;+420 775 230 073;kemp@wakesurfnaklo.cz
Nový kemp Riviera Zbečno;+420 739 585 624;kemp.zbecno@email.cz
Lesní kemp Kamenice;+420 730 503 777;recepce@kempkamenice.cz
Kemp a caravan camping Nová Živohošť;+420 730 543 448;info@caravan-camping.cz
Caravancamping;+420 725 815 809;info@caravancamping-hp.cz
Autocamping Pod Černým lesem Žamberk;+420608356665;janekkulhanek@seznam.cz
Koupaliště a kemp Pecka;+420493799499;kemppecka@seznam.cz
Kemp Keramika;+420 608 749 745;
Camping u Kukačků a penzion DaJa;+420 727 926 923;dajalipno@gmail.com
Kemp Hnačov;+420777300053;atc.hnacov@seznam.cz
Autokemp Primátor Litomyšl;+420 732 148 723;primator@camplitomysl.cz
Camp Strážnice;+420518332037;rezervace@camp-straznice.cz
Base Camp Medvědín;+420 777 709 067;info@bcmedvedin.cz
Camping Olšina - Lipno;+420608029981;info@campingolsina.cz
Kemp Moře u rybníku Řeka;+420 775 233 201;cata@volny.cz
Rekreační areál Poslův Mlýn;+420 734 596 586;rezervace@posluvmlyn.cz
Vranovská pláž - Holiday Park;+420515291291;recepce@vranovska-plaz.cz
Kemp Velehrad;608222006;info@kempvelehrad.cz
Camp Dolce;+420774233342;recepce@camp-dolce.cz
Kanak - půjčovna lodí, kemp Branná;+420774061450;kemp@kanak.cz
Camping Chvalšiny;+420 602 234 133;info@mycamp.cz
Kemp Stříbrný rybník;+420 607 135 822;recepce@vslesy.cz
Autokemp Kačer;603589762;info@autokempkacer.cz
Autocamp Jindřiš;+420 607 251 911;behoun@jindris.cz
Autocamp Jenišov;+420777293473;hajny.pa@seznam.cz
Camping Amerika;+420 354 597 390;recepce@camping-amerika.eu
Autocamp Osek;774719631;autocamp@osek.cz
Rekreační areál U skály;+420 734 596 586;rezervace@uskaly.cz
Autocamp Slunečná;+420739219792;campingslunecna@cernydul.cz
Autocamping Rozkoš;+420 491 451 112;recepce@atcrozkos.cz
Kemp a koupaliště Vémyslice;+420 724 690 924, 603 742 772;kempvemyslice@seznam.cz
Autocamp Sedmihorky;+420481389162;camp@campsedmihorky.cz
Camp Bítov - Vranovská přehrada;+420605842965;info@camp-bitov.cz
Eurocamping Bojkovice;+420604236631;info@eurocamping.cz
Camping Prima;+420 725 025 075;info@campingprima.cz
Autokemp Klůček;+420487872138;autokemp@regatamachovojezero.cz
Srubový Kemp Zvíkov Village;+420 774 693 051;ZVIKOVVILLAGEKEMP@GMAIL.COM
Kemp Ranč Bystřička;604271197;rancbystricka@seznam.cz
Autokemping Thermalpark Dunajská Streda;+421315524091;recepcia@thermalpark.sk
ATC - Milavy;+420381301550, 606 690 391;velkaturna@seznam.cz
Sportovní areál kemp autokemp Dolní Morava;603538136;vrabelradek@seznam.cz
Autokemp Buňkov;+420774708951;kemp@bunkov.cz
Zákoutí Apartmány Chatky Kemp;+420494663335;info@zakouti.eu
Autokemp Brodský;+420491461193;info@campbrodsky.cz
Autokemp Sykovec;+420604441175;kemp@kempsykovec.cz
Autokemp U Kosů;+420606145578;autokemp.kos@treb.cz
IN LIFE kemp;+420727965970;objednavky@in-life.cz
Kemp a koupaliště Tyršák;+420 605 999 696;info@tyrsak.cz
Rekreační areál Kemp Lávkapark;+420 773 97 97 77;lavkaskochovice@lavka.cz
A.T.C. Autokemp Golf;734 257 523;kempgolfpdy@gmail.com
Autokemp Frýdlant;+420 725 125 750;autokempfrydlant@gmail.com
Yacht centrum;+ 421 910 666 649;matejova.lea@gmail.com
Autokemp Komorník Kunžak - Česká Kanada;+420 724 055 429;info@kempkomornik.cz
ATC ANNIN 1;+420607937653;kempannin@seznam.cz
Rekreační středisko a kemp Jachta Holany;+420775100500;info@jachtaholany.cz
Camp Pod Lesem;+420604894044;lukaszavrel@tiscali.cz
Lesní tábořiště Nebřich;834471-744;
Camping Sever Chlum u Třeboně;+420602393683;post@campsever.cz
Autocamp Klášterský mlýn;+420 727842511;info@klasterskymlyn.cz
Kemp Formule Děčín;+420412548445;kemp@hotelformule.cz
Camp pod Kaštany;739 992 409;camp.pod.kastany@gmail.com
Kemp Marina Týnec;720961860;info@marinatynec.cz
Autocamp U Pískovny;606 129 996;upiskovny@seznam.cz
Kemp Zelené údolí s bazény;+420721537931;kempzeleneudoli@seznam.cz
Autocamp a rekreační středisko Červený Hrádek;+420 777 004 209;autocamp.hradek@centrum.cz
Koupaliště kemp Sobotka;776733341;kempsobotka@seznam.cz
Autocamp OASA Staňkov;606832100;stankov@campoasa.cz
AUTOKEMPING ORAVICE;+421910785878;recepcia@kemporavice.sk
Autokemp Merkur Pasohlávky;+420519427714;kemp@pasohlavky.cz
SK MŠENO;+420315693214;nechyba@cmail.cz
Autocamp u Wellness hotelu Orlík;+420 602 359 388;recepce@hotelorlik.cz
Camp Javořice;+420 776 158 581;info@javorice.cz
Kemp u Jezera;+420 725 408 111;info@campinglakemusov.com
Autocamp Nové Město;601 363 627;src.ubytovani@gmail.com
Rodinný kemp Jadran - Novotný;603182951;info@atcjadran.cz
Camp Karolina;777 296 990;office1@camp-k.cz
Kemp Bezdrev - Camping & Restaurant;+420 775 113 036;campingbezdrev@h-r.cz
Autokemp Kamencové jezero;+420 777 187 843;recepce@kamencovejezero.cz
Kemp Zvíkovec U Varských;+420603439892;uvarskych@uvarskych.cz
Kemp Marina Liptov;+421 902 605 605;rezervacie@marinaliptov.sk
Kemp Štěrk;+420 702 052 651;info@kempsterk.cz
Kemp a stanování Sněžník - Dolní Morava;777 693 429;treehousessneznik@gmail.com
Camping **** POD BRZOZAMI Ustronie Morskie  -  POLSKO;+48 502 812 055;info@brzozy.pl
Autokemp Velký Dřevíč;+420 736 629 644;info@kempdrevic.cz
Kemp Račice nad Berounkou;602 619 967;kemp@obec-racice.cz
Camp Lodín;+420495445192;recepce@camplodin.cz
ATC Jesenice;+420 608 029 189;atcjesenice@seznam.cz
Camp Znojmo;+420 731 621 981;info@campznojmo.cz
Camping Country;+420515255249;camping-country@cbox.cz
Autokemp Náchod;+420 704 701 850;kempnachod@seznam.cz
Autokemp Budišov nad Budišovkou;+420 736 767 588;autokemp@budisov.cz
ATC Trusalová;+421 43 429 26 36;info@atctrusalova.sk
Veřejné tábořiště Nová Živohošť;+420 607 665 277;info-taboriste-zivohost@email.cz
Chatová osada Višňová Hájek;+420605253180;visnovahajek@seznam.cz
ATC Vavrišovo - Dolný kemp;+421940842088;pepe.vav@gmail.com
Camp Vary - Karlovy Vary;+420 602 320 399;info@vitkovahora.cz
Top camping Goralský dvor;+421905389413;info@goralskydvor.sk
Rekreační a sportovní areál Smědá Raspenava;+ 420 604 275 322;kemp.smeda@raspenava.cz
Autokemp Hájovna Kdyně;601 105 655;automotoklub@kdyne.cz
Camping Pullmann Piešťany;+421911201089;info@campingpiestany.sk
KEMP BRANOV;+420 734 799 100;kemp.branov@email.cz
