Název;E-mail;Telefon
"SLOV INN JASNÁ a. s.";recepcia@bjornsonka.sk;"044 5535 555"
"J+Z Bystrinaresort, s. r. o.";hotelbystrina@bystrinaresort.sk;"044 5548 163"
"Borová Sihoť s.r.o.";recepcia@borovasihot.sk;"044 5224 039 | 044 5224 055"
"Hotel Zlatý orel Ostravice s.r.o.";hotel@zlatyorel.cz;"420 736 500 | 090+420 | 558 436 904 | 420 736 | 500 090 | 420 558 | 436 904 | 05597951"
"TATRA TRADING INTERNATIONAL s.r.o.";recepcia@hotelhorizont.sk;"0908 908 111 | 0910 802 309"
"HOREZZA, a.s.";info@granithotels.sk;"02 3210 6000 | 0914 324 188 | 033 7983 111 | 052 4422 751"
"So-lo, spol. s r.o.";info@mercihotel.sk;"0902 377 765 | 0911 284 933"
"Deštrukprojekt - Ing. Július Lapdavský";info@hotelhunter.sk;"0911 571 782"
"FBS, s.r.o.";info@strachanovka.sk;"044 5263 333 | 0907 465 567"
"Impozant, s.r.o.";info@impozant.sk;
"Vinnay s.r.o.";recepcia@hotelvinnay.sk;"0948 245 809"
"Hotel Veverica, s. r. o.";info@hotelveverica.sk;"032 6420 881"
"Slovak Tourism, a.s.";info@thermalkesov.sk;"037 7787 144"
"HOTEL GLAMOUR s.r.o.";recepcia@hotelglamour.sk;"056 6880 555 | 0908 975 269"
"Turist hotel Drotár - Miroslav Medveď";hoteldrotar@gmail.com;"048 6179 103"
"OSŽ Slovakia, a.s.";recepcia@skalkahotel.sk;"041 5493 761"
"Frank Rastislav";spojar@spojar.sk;"044 5586 137 | 0908 803 202"
"DUDÍN s.r.o.";dudin@dudin.sk;"048 4115 497"
"Ostredok s. r. o.";recepcia@ostredok.sk;"044 5591 531"
"Hotel Panoráma Trenčianske Teplice s.r.o.";info@hoteltrenciansketeplice.sk;"0915 100 592"
"Divoká voda, s.r.o.";hotel@divokavoda.sk;"02 6285 0895"
"EUROCOM Investment, s.r.o.";info@besenova.com;"0917 998 844 | 052 3700 201"
