Název;E-mail;Telefon
"HOTELY Plus a.s.";travel@hotely-plus.sk;"02 4823 1920 | 0903 215 100 | 02 4329 3378 | 0903 796 828"
"KVALSTAV, spol. s r.o.";kvalstav@gmail.com;"02 4592 5913"
"Slovenská technická univerzita v Bratislave, Študentský domov Mladá Garda";;"0918 664 020"
"Dipena - Ing. Jozef Prokopič";ubytovanie@dipena.sk;"051 7710 324 | 051 7718 462"
"Milvar, s.r.o.";milvar@atlas.sk;"048 4138 773 | 048 4138 765"
"Rozvoj a spolupráca s. r. o.";info@rozvojaspolupraca.sk;"0911 661 894"
"Tréningové centrum Kompas";ubytovanie@tckompas.sk;"0911 723 453"
"Santé Holding, s.r.o.";ubytovnasante@ubytovnasante.sk;"0907 738 881"
"Železnice Slovenskej republiky, Bratislava";hovorca@zsr.sk;"02 2029 2000"
"M&A bros s.r.o.";robotnickaubytovna@gmail.com;"0905 618 244"
"MJM - Ján Pleva";info@pohodaubytovanie.sk;"0903 593 282"
"Briatková Mária";pbriatka@gmail.com;"0903 767 319 | 033 55 430 22"
"Wolf, s.r.o.";info@ubytovnabb.sk;"0905 334 176"
"Rejdovjan Jozef";nita@nita.sk;"0905 500 919"
"KOMPRESORY V.V. spol. s r.o.";vlcek56@gmail.com;"0905 430 907"
"Junes, s.r.o.";ubytovna@junes.sk;
"CHORS like a hotel s.r.o.";reservations@cho.rs;"0910 127 878"
"Röder.CZ s.r.o.";pavelroder@seznam.cz;"0903 32 | 6 364+420 | 777 753 110 | 0903 326 364 | 420 777 | 753 110"
"Possonium - Matej Sohár";info@possonium.sk;"02 2072 0007"
"Súkromná spojená škola SEZ Krompachy, Maurerova 55, Krompachy";ubytovnarelax@gmail.com;"0915 896 577 | 0918 370 018"
"Kasalová Beáta";rezervacie@ubytovna-nitra.sk;"0948 006 777"
"Izona, s.r.o.";izona@bb.telecom.sk;"047 4831 334"
"Adonai Slovakia s.r.o.";adonai@netmax.sk;"048 4164 989 | 0948 642 405 | 0905 642 405 | 0905 433 383"
"Rebiz s.r.o.";rezervacie@ubytovaniesered.sk;"0903 251 904"
"MEBA, spol. s r.o.";hotel@hotelprim.sk;"02 4425 3124"
"Sorea, spol. s r.o.";marketing@sorea.sk;"02 5023 9198"
