Název;E-mail;Telefon
"Hudobná škola, s. r. o.";radovac@zoznam.sk;0902180663
"Černovské drevenice, s. r. o.";info@udobrehopastiera.sk;"0917 980 151"
"FIRES, s.r.o.";gasper@fires.sk;"0905 623 358"
"ALIEN RESORT s. r. o.";hotel@botelgracia.sk;"02 5443 2132"
"Univerzita Komenského v Bratislave, Vysokoškolské mesto Ľ. Štúra - Mlyny";mlyny.ubytovanie@uniba.sk;"0918 110 124"
"CITY GROUP s.r.o.";info@villaliptovskamara.sk;"0905 105 555"
"MATTY GLAMPING s. r. o.";info@skandinavskedomceky.sk;"0904 953 385"
"W Complex s.r.o.";recepcia@ubytovanienitra.com;"0917 310 583"
"HOTEL ZAUBER s.r.o.";recepcia@villazauber.sk;"0917 711 351052 7731 331 | 0917 711 351"
"EPONA - VAJNORY, s.r.o.";epona@penzion-epona.sk;"0905 880 333"
"Real Service, s.r.o.";info@treehouse.sk;"0905 620 620"
"ZALIMEX, k. s.";info@zalimex.sk;"0918 561 430"
"SaLiD s. r. o.";info@nastrome.sk;"0944 266 078"
"MATEJOV s.r.o.";info@domceknastrome.sk;"0944 128 450"
"Budinský Dušan";dodielne@dodielne.sk;"0908 727 577"
"CARGO FRIENDS SLOVAKIA, s.r.o.";borovic@cargofriends.sk;"048 4153 696"
"Swiss Bohemia ways s.r.o.";info@florentina-boat.cz;"+420 601 001 592"
