Name;Phone;Email
Rekreační středisko Nová Louka;+420382288109;andela.rerichova@seznam.cz
Vranovská pláž - Holiday Park;+420515291291;recepce@vranovska-plaz.cz
Autocamping Pod Černým lesem Žamberk;+420608356665;janekkulhanek@seznam.cz
Koupaliště a kemp Pecka;+420493799499;kemppecka@seznam.cz
Kemp Keramika;+420 608 749 745;
Camping u Kukačků a penzion DaJa;+420 727 926 923;dajalipno@gmail.com
Autokemp Primátor Litomyšl;+420 732 148 723;primator@camplitomysl.cz
Camp Strážnice;+420518332037;rezervace@camp-straznice.cz
Base Camp Medvědín;+420 777 709 067;info@bcmedvedin.cz
Kemp Moře u rybníku Řeka;+420 775 233 201;cata@volny.cz
Rekreační areál Poslův Mlýn;+420 734 596 586;rezervace@posluvmlyn.cz
Kemp Velehrad;608222006;info@kempvelehrad.cz
Camp Dolce;+420774233342;recepce@camp-dolce.cz
Kemp Stříbrný rybník;+420 607 135 822;recepce@vslesy.cz
Autokemp Kačer;603589762;info@autokempkacer.cz
Rekreační středisko Stará Živohošť;+420 601 302 030;info@starazivohost.cz
Rekreační středisko Pod Stepí;+420737389808;info@happydovolena.cz
Autocamp Osek;774719631;autocamp@osek.cz
Rekreační areál U skály;+420 734 596 586;rezervace@uskaly.cz
Autocamp Slunečná;+420739219792;campingslunecna@cernydul.cz
Autocamping Rozkoš;+420 491 451 112;recepce@atcrozkos.cz
Camp Bítov - Vranovská přehrada;+420605842965;info@camp-bitov.cz
Camping Prima;+420 725 025 075;info@campingprima.cz
Srubový Kemp Zvíkov Village;+420 774 693 051;ZVIKOVVILLAGEKEMP@GMAIL.COM
Kemp Ranč Bystřička;604271197;rancbystricka@seznam.cz
Kemp a penzion Harasov Kokořínsko;+420 603 401 999;info@harasov.eu
Autokemping Thermalpark Dunajská Streda;+421315524091;recepcia@thermalpark.sk
Autokemp Buňkov;+420774708951;kemp@bunkov.cz
Zákoutí Apartmány Chatky Kemp;+420494663335;info@zakouti.eu
Rekreační středisko Rajnošky;+420 608 500 167;info@rajnosky.cz
Autokemp U Kosů;+420606145578;autokemp.kos@treb.cz
Kemp Iveta;+420 731 116 451;libordemeter1710@seznam.cz
Rekreační areál Kemp Lávkapark;+420 773 97 97 77;lavkaskochovice@lavka.cz
Yacht centrum;+ 421 910 666 649;matejova.lea@gmail.com
Autokemp Komorník Kunžak - Česká Kanada;+420 724 055 429;info@kempkomornik.cz
ATC ANNIN 1;+420607937653;kempannin@seznam.cz
Autocamp Klášterský mlýn;+420 727842511;info@klasterskymlyn.cz
Kemp Formule Děčín;+420412548445;kemp@hotelformule.cz
Kemp Marina Týnec;720961860;info@marinatynec.cz
Autocamp U Pískovny;606 129 996;upiskovny@seznam.cz
Kemp Zelené údolí s bazény;+420721537931;kempzeleneudoli@seznam.cz
Koupaliště kemp Sobotka;776733341;kempsobotka@seznam.cz
AUTOKEMPING ORAVICE;+421910785878;recepcia@kemporavice.sk
Autokemp Merkur Pasohlávky;+420519427714;kemp@pasohlavky.cz
SK MŠENO;+420315693214;nechyba@cmail.cz
Autocamp u Wellness hotelu Orlík;+420 602 359 388;recepce@hotelorlik.cz
Camp Javořice;+420 776 158 581;info@javorice.cz
Autocamp Nové Město;601 363 627;src.ubytovani@gmail.com
Camp Karolina;777 296 990;office1@camp-k.cz
