Name;Phone;Email
Ubytování v přírodě na dosah ruky.;+420608773394;partners@dokempu.cz
Autocamp Wilsonka na Dalešické přehradě;+420608773394;partners@dokempu.cz
Camp Javořice;+420776158581;info@javorice.cz
Sport Areál Samopše;+420608773394;partners@dokempu.cz
Kemp Stvořidla;+420721579004;stvoridla@email.cz
Camping Matyáš;+420608773394;partners@dokempu.cz
Kemp Hnačov;+420777300053;atc.hnacov@seznam.cz
Camping Hana;+420607905801;partners@dokempu.cz
Veřejné tábořiště Nová Živohošť;+420607665277;info-taboriste-zivohost@email.cz
KEMP POPELÍKY;+420773269690;obec.milesov@tiscali.cz
Kemp Podskalí Strakonice;+420602140000;podskalistrakonice@seznam.cz
Autokemp Fulnek – Jerlochovice;+420734204906;partners@dokempu.cz
Euro-Air-Camp;+420491612605;partners@dokempu.cz
Camp Alpa;+420721208009;campalpa@gmail.com
Autocamping Antýgl;+420376599331;kempantygl@sumava.net
Eurocamp Běšiny;+420608773394;partners@dokempu.cz
Autokemp Náchod;+420704701850;kempnachod@seznam.cz
Autokemp Kokořín;+420608773394;info@autokempkokorin.cz
Kemp Country Bečice;+420777000400;partners@dokempu.cz
Kemp Měruše u pískových jezer;+420773515021;kempmeruse@seznam.cz
Autokemp Baška;+420736422761;partners@dokempu.cz
Eurocamp Barbora;+420608773394;partners@dokempu.cz
Koupaliště Úžlebec;+420608773394;partners@dokempu.cz
Kemp Mars;+420608773394;partners@dokempu.cz
KEMP MAJDALENA;+420608773394;partners@dokempu.cz
Kemp Lučina;+420608773394;recepce@kemplucina.cz
Autokemp U Věže;+420725016710;info@kempuveze.cz
Kemp Mláka;+420608773394;partners@dokempu.cz
Autokemp Na Vyhlídce;+420721171489;info@autokempmiletin.cz
Autokempink Nové Městečko;+420608773394;novemestecko@sumavanet.cz
KEMP ÚŠTĚK U JEZERA CHMELAŘ;+420608773394;hnojilkova@mesto-ustek.cz
Domanínský Rybník;+420608773394;partners@dokempu.cz
Autocamp Nové Město;+420608773394;src.ubytovani@gmail.com
Kemp Dolní Kalná;+420608773394;d.kalna@quick.cz
ATC Radešov;+420608773394;partners@dokempu.cz
Kemp - chatová osada Lužany;+420608773394;partners@dokempu.cz
Rekreační středisko Arnika;+420608773394;partners@dokempu.cz
Autokemp Lučina;+420608773394;partners@dokempu.cz
Autokemp Smraďavka;+420731877027;partners@dokempu.cz
Camping 2000;+420485179621;partners@dokempu.cz
RESORT ČOCHTAN, kemp Lázně Bohdaneč;+420777246516;partners@dokempu.cz
Sport & Relax areál Bozeňov;+420608773394;partners@dokempu.cz
Autokemp Bučnice;+420602811609;info@autokempbucnice.cz
Koupaliště a kemp Chlumec nad Cidlinou;+420608705052;kemp@chlumecnc.cz
KEMP BRANOV;+420734799100;kemp.branov@email.cz
ATC Jesenice;+420608029189;atcjesenice@seznam.cz
Kemp Bezdrev - Camping & Restaurant;+420775113036;campingbezdrev@h-r.cz
Autokemp Kačer;+420608773394;info@autokempkacer.cz
Kemp Na Slapnici;+420608773394;partners@dokempu.cz
Kemp Horní Bečva;+420603278281;kemphb@seznam.cz
Areál Lesková;+420608773394;partners@dokempu.cz
Autocamp Ostrov – Zadní Třebaň;+420777150241;kempostrov@gmail.com
ATC ANNIN 1;+420607937653;kempannin@seznam.cz
Kemp Březák;+420721721232;kemp.brezak@seznam.cz
Camp Bítov - Vranovská přehrada;+420605842965;info@camp-bitov.cz
Juniorcamp Nová Živohošť;+420608773394;partners@dokempu.cz
ATC Hradec u Kadaně;+420605216105;partners@dokempu.cz
Ádova chatová osada - kemp Ubislav;+420608773394;partners@dokempu.cz
Autokemp Aljaška;+420608773394;autokemp-aljaska@cbox.cz
Autokemp U Tomášků;+420608773394;partners@dokempu.cz
Autokemp Velký Vřešťov;+420499394123;partners@dokempu.cz
Camp VESELKA;+420777281897;b.vesely@centrum.cz
PRAGUE CENTRAL CAMP;+420608773394;praguecentralcamp@gmail.com
Kemp Nový Rybník;+420608773394;partners@dokempu.cz
Koupaliště a kemp Broumar;+420608773394;partners@dokempu.cz
Rekreační zařízení ORION;+420602530446;partners@dokempu.cz
Kemp Rychta;+420608773394;partners@dokempu.cz
Autocamp Skalice Slapy;+420608773394;partners@dokempu.cz
Autocamp Mělník;+420608773394;partners@dokempu.cz
Autokemp Seč Pláž;+420469676286;partners@dokempu.cz
Autocamp OASA Staňkov;+420608773394;stankov@campoasa.cz
Autokemp Karvánky;+420608773394;partners@dokempu.cz
Autocamp Zvůle;+420608773394;partners@dokempu.cz
Triocamp;+420722242343;info@trio.camp
Camp Strážnice;+420518332037;rezervace@camp-straznice.cz
Camp Sokol Troja;+420797848440;partners@dokempu.cz
Camp Prager;+420244912854;partners@dokempu.cz
Camping OASE Praha;+420241932044;partners@dokempu.cz
Kateřinský mlýn;+420384496124;partners@dokempu.cz
Autocamp Milovice;+420602275577;camp@miloviceuhoric.cz
Autokemp Merkur Pasohlávky;+420519427714;kemp@pasohlavky.cz
Camp Džbán;+420725956457;info@campdzban.eu
Camping Drusus, Praha;+420608773394;partners@dokempu.cz
Resort & Camp Dešná;+420608773394;partners@dokempu.cz
Camping Sokol Praha;+420777553543;info@campingsokol.cz
Autokemp Brodský;+420491461193;info@campbrodsky.cz
Autocamping Bobrovník;+420584411145;camp@bobrovnik.cz
Rodinný kemp Jadran - Novotný;+420608773394;info@atcjadran.cz
Rekreační středisko a kemp Jachta Holany;+420775100500;info@jachtaholany.cz
Autocamping Hluboký;+420466682284;camp-hluboky@iol.cz
Autokemp Hamr na jezeře;+420608773394;partners@dokempu.cz
A.T.C. Autokemp Golf;+420608773394;kempgolfpdy@gmail.com
Eurocamping Bojkovice;+420604236631;info@eurocamping.cz
Eden Jinolice;+420608773394;partners@dokempu.cz
Camping Country;+420515255249;camping-country@cbox.cz
Camp Bušek - Prague;+420283910254;partners@dokempu.cz
Autokemp Buňkov;+420774708951;kemp@bunkov.cz
Camping La Provence;+420608773394;partners@dokempu.cz
Autocamping Luhačovice, přehrada;+420739112116;lubosnovosad@seznam.cz
La Rocca;+420608773394;partners@dokempu.cz
Autokempink Křivonoska;+420725959497;autokempkrivonoska@seznam.cz
Autokemp Kristýna;+420608773394;recepce@kemp-kristyna.cz
Kemp Týniště nad Orlicí;+420776364146;partners@dokempu.cz
Autokemp Košťálov;+420481689221;partners@dokempu.cz
Autokemp Komorník Kunžak - Česká Kanada;+420724055429;info@kempkomornik.cz
Autocamping Knížecí rybník;+420608773394;partners@dokempu.cz
Autokemp Karlštejn;+420608773394;partners@dokempu.cz
Autocamp Jinolice - veřejné tábořiště;+420608773394;partners@dokempu.cz
Autocamp Jindřiš;+420607251911;behoun@jindris.cz
Kemp Cholín-Slapy;+420776867509;partners@dokempu.cz
Autokemp Mydlák, provozovatel Městské hospodářství Zliv;+420731508809;mh.uctarna@necoss.net
Autokemp Mostek;+420499691279;autokemp@mostek.cz
Morava Camp;+420608773394;partners@dokempu.cz
Mini Kemp Plecháč;+420608773394;partners@dokempu.cz
Kemp Pod mostem Na Zvíkovci;+420736272821;info@kemp-podmostem.cz
Autokemp  Loděnice Zdoňov Adršpach;+420608773394;partners@dokempu.cz
Zákoutí Apartmány Chatky Kemp;+420494663335;info@zakouti.eu
Autokemp Velký Vír;+420604460912;recepce@velkyvir.cz
Camp Velkopařezitý;+420567379449;recepce@campvelkoparezity.cz
Kemp Velehrad;+420608773394;info@kempvelehrad.cz
Autocamp U Pískovny;+420608773394;upiskovny@seznam.cz
Kemp Nechranice;+420608773394;partners@dokempu.cz
Autocamp Transit;+420608773394;partners@dokempu.cz
Obecní kemp Staňkov;+420721042463;rekreace.stankov@gmail.com
Tábořiště Soukeník;+420603171922;partners@dokempu.cz
Camping Sever Chlum u Třeboně;+420602393683;post@campsever.cz
Autocamp Sedmihorky;+420481389162;camp@campsedmihorky.cz
Autocamping Rozkoš;+420491451112;recepce@atcrozkos.cz
Autokemp Třebíč - Poušov;+420608773394;info@kemppousov.cz
Autocamp Podhradí;+420608773394;partners@dokempu.cz
Autocamping Výr;+420775576656;camp.vyr@seznam.cz
Camping u Kukačků a penzion DaJa;+420727926923;dajalipno@gmail.com
Autocamp Ostende;+420377520194;partners@dokempu.cz
Chatová osada a kemp Ostaš;+420608773394;partners@dokempu.cz
Autokempink Osika;+420608773394;partners@dokempu.cz
Autocamp Osek;+420608773394;autocamp@osek.cz
Camp Olšovec, Jedovnice;+420725896488;rezervace@olsovec.cz
Autokemp Olešná;+420602238823;undefined
AUTOKEMP NÝRSKO;+420608773394;partners@dokempu.cz
Kemp Český Krumlov - Nové Spolí;+420608773394;kemp.ck@seznam.cz
Prague Camp;+420702145150;partners@dokempu.cz
Kemp Hoštice;+420603236128;mail@kemphostice.cz
Kemp Stříbro - Hracholuská přehrada;+420608773394;partners@dokempu.cz
Camp HERZOG;+420283850472;partners@dokempu.cz
Autocamp U Viaduktu;+420608773394;partners@dokempu.cz
Autokemp Marin Mělice;+420739237063;info@kempmelice.cz
Kemp Tanvaldský Špičák;+420608773394;partners@dokempu.cz
Kemp Ontario;+420725051065;ontario@obeckyselka.cz
Chatová osada Soukeník;+420606552986;osadasoukenik@seznam.cz
Camping am See Václav;+420354435653;partners@dokempu.cz
Kemp Zvíkovec U Varských;+420603439892;uvarskych@uvarskych.cz
Autokemp U Kosů;+420606145578;autokemp.kos@treb.cz
Kemp Formule Děčín;+420412548445;kemp@hotelformule.cz
Kemp Otava;+420608773394;partners@dokempu.cz
Autocamp Žíchovec;+420602125857;autocamp-zichovec@seznam.cz
Camping Slnečné skaly;+420608773394;slnecneskalycamp@gmail.com
Autokempink DŘENICE;+420731887223;autokempinkdrenice@seznam.cz
Camp Karolina;+420608773394;office1@camp-k.cz
Camp Vejsplachy;+420608773394;partners@dokempu.cz
Camp KAMENEC;+420604989353;camp.kamenec@seznam.cz
Autokemp U letadla Seč;+420608773394;partners@dokempu.cz
Autokemp Primátor Litomyšl;+420732148723;primator@camplitomysl.cz
Autokemping Varín;+420608773394;rezervacia@atcvarin.sk
Camping   BOROVA;+420608773394;partners@dokempu.cz
Rekreační areál - Autokempink Vysočina;+420603318965;partners@dokempu.cz
Bítov - Horka;+420604712740;partners@dokempu.cz
ATC Panistávka;+420608773394;partners@dokempu.cz
Camping Pullmann Piešťany;+420608773394;info@campingpiestany.sk
Camping Radka;+420546215821;partners@dokempu.cz
Camp Lodín;+420495445192;recepce@camplodin.cz
Autokemp Klůček;+420487872138;autokemp@regatamachovojezero.cz
Rekreační areál Slunce Žandov;+420608773394;partners@dokempu.cz
Holiday Park Vrchlabí;+420733636797;partners@dokempu.cz
Camp Borný;+420608773394;partners@dokempu.cz
Camping Lipno Modřín;+420608773394;partners@dokempu.cz
Camp Šternberk;+420608773394;partners@dokempu.cz
Autocamp Veveří u Nových Hradů;+420605551369;vheral@seznam.cz
ATC Free Star Strachotín;+420608773394;partners@dokempu.cz
Autokemp Vikletice - Nechranice;+420607574302;partners@dokempu.cz
Camp Pálava - Nové Mlýny;+420608773394;partners@dokempu.cz
Rekreační středisko Radava;+420777936759;radava@radava.com
Autokemp a penzion MLÝN Velké Losiny;+420608773394;partners@dokempu.cz
Autocamp Podroužek;+420608773394;recepce@autocamppodrouzek.cz
Kemp Pod Císařem;+420608773394;partners@dokempu.cz
Koupaliště a kemp Pecka;+420493799499;kemppecka@seznam.cz
Kemp Lužnice;+420384792375;partners@dokempu.cz
Autokemping Dolina;+420603959644;kempdolina@seznam.cz
Kemp u Jezera;+420725408111;info@campinglakemusov.com
Autokemp Hájovna Kdyně;+420608773394;automotoklub@kdyne.cz
Autokempink Česká Brána;+420608773394;partners@dokempu.cz
Autokemp Na Terasách;+420380744125;autokemp@jcak.cz
Camping Olšina - Lipno;+420608029981;info@campingolsina.cz
Autocamp Slunečná;+420739219792;campingslunecna@cernydul.cz
Rekreační středisko Zdeslav;+420608773394;partners@dokempu.cz
Kempink  Beskydy;+420558433072;partners@dokempu.cz
Camping Jiskra Harrachov;+420608773394;camp.harrachov@gmail.com
Autokemp Karlovy Dvory II;+420380738052;partners@dokempu.cz
Caravan Camp Petráškův Dvůr;+420608773394;partners@dokempu.cz
Autokemp Velký Dřevíč;+420736629644;info@kempdrevic.cz
Autokemp Jablonné v Podještědí;+420774450622;koupaliste@tsmjabl.cz
Autokempink Štilec;+420387998247;ou@kamenny-ujezd.cz
ATC KOSMONOSY;+420608773394;partners@dokempu.cz
ATC Šlechtův Palouk;+420465637294;atc@pastviny.cz
Autocamping Příhrazy;+420608773394;autocamping.prihrazy@seznam.cz
Camp Sport;+420731614320;recepce@tjroznov.cz
Relaxa;+420728253263;partners@dokempu.cz
Camp Tatranec;+420608773394;hoteltatranec@hoteltatranec.com
Radost - Oáza;+420608773394;partners@dokempu.cz
Jiří Neubauer atc Třeboň (ráj);+420384722586;info@autocamp-trebon.cz
Autocamping Pod Černým lesem Žamberk;+420608356665;janekkulhanek@seznam.cz
Autokemp Pilák;+420608773394;partners@dokempu.cz
Chatová osada U Koupaliště;+420604593544;partners@dokempu.cz
SOUMARSKÝ MOST;+420605831917;partners@dokempu.cz
Veřejné Tábořiště Zahrádky;+420608773394;icborovalada@seznam.cz
Liščí Mlýn;+420721578824;partners@dokempu.cz
Chatový areál ZDĚŘINA;+420491543182;chaty@zderina.cz
SPORT CAMP U TOMÁŠŮ;+420608773394;partners@dokempu.cz
Autokemp Budišov nad Budišovkou;+420736767588;autokemp@budisov.cz
Autokemp Chabařovice;+420606126253;autokemp-chabarovice@seznam.cz
Chatový ráj BRANDLÍN;+420608773394;partners@dokempu.cz
VODÁCKÁ ZÁKLADNA;+420384781802;partners@dokempu.cz
SK MŠENO;+420315693214;nechyba@cmail.cz
Camping Chvalšiny;+420602234133;info@mycamp.cz
Kemp Duo camp;+420604287501;info@duocamp.cz
