Name;Phone;Email
Autocamping Pod Černým lesem Žamberk;+420608356665;janekkulhanek@seznam.cz
Kemp Keramika;+420 608 749 745;
Camping u Kukačků a penzion DaJa;+420 727 926 923;dajalipno@gmail.com
Camping Olšina - Lipno;+420608029981;info@campingolsina.cz
Kemp Stříbrný rybník;+420 607 135 822;recepce@vslesy.cz
Camp Dolce;+420774233342;recepce@camp-dolce.cz
Vranovská pláž - Holiday Park;+420515291291;recepce@vranovska-plaz.cz
Autocamp Jenišov;+420777293473;hajny.pa@seznam.cz
Autocamp Sedmihorky;+420481389162;camp@campsedmihorky.cz
Eurocamping Bojkovice;+420604236631;info@eurocamping.cz
Kemp Ranč Bystřička;604271197;rancbystricka@seznam.cz
Autokemp Buňkov;+420774708951;kemp@bunkov.cz
A.T.C. Autokemp Golf;734 257 523;kempgolfpdy@gmail.com
ATC ANNIN 1;+420607937653;kempannin@seznam.cz
Rekreační středisko a kemp Jachta Holany;+420775100500;info@jachtaholany.cz
Lesní tábořiště Nebřich;834471-744;
Kemp Formule Děčín;+420412548445;kemp@hotelformule.cz
Camp pod Kaštany;739 992 409;camp.pod.kastany@gmail.com
Rekreační středisko Radava;+420777936759;radava@radava.com
Kemp Marina Týnec;720961860;info@marinatynec.cz
Autocamp U Pískovny;606 129 996;upiskovny@seznam.cz
Autocamp OASA Staňkov;606832100;stankov@campoasa.cz
Kemp u Jezera;+420 725 408 111;info@campinglakemusov.com
Rodinný kemp Jadran - Novotný;603182951;info@atcjadran.cz
Camp Karolina;777 296 990;office1@camp-k.cz
Kemp Zvíkovec U Varských;+420603439892;uvarskych@uvarskych.cz
Kemp Marina Liptov;+421 902 605 605;rezervacie@marinaliptov.sk
SAFARI PARK;775 855 833;safarikemp@zoodvurkralove.cz
Camping **** POD BRZOZAMI Ustronie Morskie  -  POLSKO;+48 502 812 055;info@brzozy.pl
Autokemp Velký Dřevíč;+420 736 629 644;info@kempdrevic.cz
Kemp Račice nad Berounkou;602 619 967;kemp@obec-racice.cz
Kemp Řevnice;+420 776 312 538;info@kemprevnice.cz
Autokemp Budišov nad Budišovkou;+420 736 767 588;autokemp@budisov.cz
Triocamp;+420722242343;info@trio.camp
Camping Sokol Praha;+420777553543;info@campingsokol.cz
Kemp Ahóój;739611891;kempahooj@seznam.cz
Camp U Roštěnky;+420 608 771 999;urostenky@seznam.cz
Camping Frymburk - Lipno;+420 733 745 435;info@campingfrymburk.cz
Autocamp Milovice;+420 602 275 577;camp@miloviceuhoric.cz
Autocamping Výr;+420775576656;camp.vyr@seznam.cz
Merlin’s Camp;+420 770 105 013;info@merlinscamp.com
Kemp Zátiší Hamr na Jezeře;724 276 807;renata.franclova@zatisi-hamr.cz
Autokemp Višňová II;603 284 393;cizek.dusan@seznam.cz
Tree houses Sněžník s wellness;+420 777 693 429;treehousessneznik@gmail.com
Višňová 1;+420722509160;m.plachy@visnova1.cz
Tábořiště Semín;+420724041883;info@autokempsemin.cz
Obecní kemp Staňkov;+420721042463;rekreace.stankov@gmail.com
Camping Paradijs;776898022;jana.eremiasova@centrum.cz
Kemp Relax Teplá;774 514 692;info@kemprelax.cz
Kempus Na poli;+420 736 291 516;l.eidova@egoe.eu
Bystrina Resort;+421 44 5548 163,  +421 903 533 971;kemping@bystrinaresort.sk
Autokemp Baldi Jesenice;+420602427163;autokemp@baldi.cz
Wecamp Cabo de Gata;900 056 003;hola@cabodegata.wecamp.net
Kemp s koupalištěm Bukovina;+420 705 200 355;info@bukovina-koupaliste.cz
Kemp Piraňa Nechranice;603257614;kemppirana@seznam.cz
Chaty u Labe;+420 603 480 004;melzer.martin@seznam.cz
Mara camping / ATC Liptovský Trnovec;+421905828444;recepcia@maracamping.sk
Camping Praha Klánovice ****;+420774553743;
Autokemp Seč Pláž;+420469676286, 774 372 987;
Mini Kemp Plecháč;605 511 644;
Camping*** Nitrianske Rudno;+421 948 108 280.;
Camping Klaus;0039041968566;
Karavan kemp Pod Liščím Kopcem;770 113 123;
Camping Domaine La Yole - Wine Resort;+33(0)467373387;
Camping Tahiti a Thermae;+390533379500;
Camping Barco Reale;+39057388332;
Camping a Bungalowpark Cala Gogo;+34972651564;
Camping Menina;+386(0)40525266;
Camping Les Mûres;+33(0)494561697;
Camping La Pinède;+33(0)495651780;
Camping a Bungalows Füred;+3687580241;
Camping Serenella;+390457211333;
Camping La Chiocciola;+393336494983;
Camping Park Mareda;+385(0)52858680;
Camping Straško;+385(0)53663381;
Kamp Galeb;+385 21 864 430;
Camping Aquarius;+34972520101;
Camping Swiss Plage;+41(0)274556608;
Camping Le Château de Poinsouze/les Castels;+33(0)555650221;
Campsite Cabopino;+34952834373;
Camping La Vallée Verte;+33(0)466790889;
Camping Mar Estang;+33(0)468803553;
Camping Turiscampo;+351282789265;
Camping Butterfly;+390456401466;
Pension a kemp Jaskòlka;+48571 239 399;
Ośrodek Taurus;+48509988887;
Autokemp Karvánky;603 242 157;
Camping am See Václav;+420354435653;
Živé Ekomuzeum a přírodní ubytování;+421 905 791 340;
Autokemp Lipno;+420602159506;
Campsite Valalta Naturist;+385(0)52804800;
CampingIN Park Umag;+385(0)52725040;
Camp Sokol Troja;+420 797848440;
Mobilheimkemp Výrovice;+420 775 112 288;
ASTRA LANČOV  u Vranovské přehrady;+420 778 222 999;
Camping Cisano/San Vito;+390456229098;
Rekreační areál a kemp Ostružno;+420 495 000 396;
Autokemp na Krásném;+420737286456;
